"","V1","V2","V3","V4"
"1","4","5607","0111","2014"
"2","8","5608","23110","2015"
"3","12","5609","23710","2016"
"4","24","5610","F0020","2018"
"5","28","5622","F0022","2019"
"6","32","5907","0113","2017"
"7","51","5908","23162",NA
"8","36","5909","23161.01",NA
"9","40","5910","23161.02",NA
"10","31","5922","23161.03",NA
"11","44",NA,"0115",NA
"12","48",NA,"24320",NA
"13","50",NA,"24310.01",NA
"14","52",NA,"24310.02",NA
"15","112",NA,"24310.03",NA
"16","56",NA,"24310.04",NA
"17","58",NA,"0112",NA
"18","84",NA,"21691.02",NA
"19","204",NA,"0116",NA
"20","64",NA,"0117",NA
"21","68",NA,"0118",NA
"22","70",NA,"0114",NA
"23","72",NA,"01192",NA
"24","76",NA,"01194",NA
"25","96",NA,"01193",NA
"26","100",NA,"01191",NA
"27","854",NA,"01195",NA
"28","108",NA,"01199.02",NA
"29","132",NA,"01199.90",NA
"30","116",NA,"23999.01",NA
"31","120",NA,"23991.01",NA
"32","124",NA,"23180",NA
"33","140",NA,"23999.02",NA
"34","148",NA,"23120.01",NA
"35","152",NA,"23120.03",NA
"36","159",NA,"23120.04",NA
"37","344",NA,"23120.90",NA
"38","446",NA,"39120.01",NA
"39","156",NA,"39120.02",NA
"40","158",NA,"39120.03",NA
"41","170",NA,"39120.04",NA
"42","174",NA,"39120.05",NA
"43","178",NA,"39120.06",NA
"44","184",NA,"39120.07",NA
"45","188",NA,"39120.08",NA
"46","384",NA,"39120.09",NA
"47","191",NA,"39120.10",NA
"48","192",NA,"39120.11",NA
"49","196",NA,"39120.12",NA
"50","203",NA,"39120.13",NA
"51","200",NA,"39120.14",NA
"52","408",NA,"23140.02",NA
"53","180",NA,"23140.03",NA
"54","208",NA,"23140.04",NA
"55","262",NA,"23140.07",NA
"56","212",NA,"23140.08",NA
"57","214",NA,"01510",NA
"58","218",NA,"21392",NA
"59","818",NA,"23230.01",NA
"60","222",NA,"23170.01",NA
"61","226",NA,"23230.02",NA
"62","232",NA,"01530",NA
"63","233",NA,"01520.02",NA
"64","748",NA,"01599.10",NA
"65","231",NA,"2351f",NA
"66","230",NA,"23520",NA
"67","234",NA,"23530",NA
"68","242",NA,"23210.04",NA
"69","246",NA,"23210.05",NA
"70","250",NA,"23210.06",NA
"71","254",NA,"23210.08",NA
"72","258",NA,"23670.01",NA
"73","266",NA,"01701",NA
"74","270",NA,"01702",NA
"75","268",NA,"01705",NA
"76","276",NA,"01703",NA
"77","288",NA,"01706",NA
"78","300",NA,"01707",NA
"79","308",NA,"01704",NA
"80","312",NA,"01708",NA
"81","320",NA,"01709.90",NA
"82","324",NA,"01377",NA
"83","624",NA,"01372",NA
"84","328",NA,"01373",NA
"85","332",NA,"01371",NA
"86","340",NA,"01376",NA
"87","348",NA,"01375",NA
"88","352",NA,"01374",NA
"89","356",NA,"21429.01",NA
"90","360",NA,"21424",NA
"91","364",NA,"21422",NA
"92","368",NA,"21429.02",NA
"93","372",NA,"21423",NA
"94","376",NA,"01379.90",NA
"95","380",NA,"0141",NA
"96","388",NA,"2161",NA
"97","392",NA,"21910.03",NA
"98","400",NA,"0142",NA
"99","398",NA,"21421",NA
"100","404",NA,"2162",NA
"101","296",NA,"01460",NA
"102","414",NA,"21429.07",NA
"103","417",NA,"01492",NA
"104","418",NA,"2166",NA
"105","428",NA,"21910.05",NA
"106","422",NA,"01491.02",NA
"107","426",NA,"2165",NA
"108","430",NA,"21691.14",NA
"109","434",NA,"21910.06",NA
"110","440",NA,"2167",NA
"111","442",NA,"21673",NA
"112","450",NA,"01447",NA
"113","454",NA,"21691.04",NA
"114","458",NA,"01445",NA
"115","462",NA,"21631.01",NA
"116","466",NA,"21910.07",NA
"117","470",NA,"01443",NA
"118","474",NA,"01442",NA
"119","478",NA,"21641.01",NA
"120","480",NA,"21641.02",NA
"121","484",NA,"21910.08",NA
"122","496",NA,"01446",NA
"123","499",NA,"01444",NA
"124","504",NA,"0143",NA
"125","508",NA,"2168",NA
"126","104",NA,"21910.15",NA
"127","516",NA,"01441",NA
"128","520",NA,"21691.12",NA
"129","524",NA,"21910.16",NA
"130","528",NA,"21691.01",NA
"131","540",NA,"21691.03",NA
"132","554",NA,"21691.05",NA
"133","558",NA,"21631.02",NA
"134","562",NA,"21691.07",NA
"135","566",NA,"21691.90",NA
"136","570",NA,"21910.01",NA
"137","807",NA,"21910.02",NA
"138","578",NA,"21910.09",NA
"139","512",NA,"21910.10",NA
"140","586",NA,"21910.11",NA
"141","275",NA,"21910.12",NA
"142","591",NA,"21910.13",NA
"143","598",NA,"21910.14",NA
"144","600",NA,"21910.17",NA
"145","604",NA,"21910.90",NA
"146","608",NA,"21920",NA
"147","616",NA,"01234",NA
"148","620",NA,"01253.01",NA
